ID,INN,Name,Price,Category,NReviews,Rating,Country,Volume
6000,261707735559,Дрель ручная электрическая,9267,tool,144,4.8,Россия,0
6001,780260063669,Пила сабельная,11042,tool,223,4.8,Россия,0
6002,780260063669,Пила сабельная,6307,tool,62,4.9,Россия,0
6003,780260063669,Степлер строительный электрический,5857,tool,134,4.8,Россия,0
6004,261707735559,Дрель ручная электрическая,5531,tool,260,4.7,Россия,0
6005,780260063669,Прибор для выжигания по дереву,5461,tool,83,4.9,Россия,0
6006,6318055972,Пила торцовочная,10364,tool,36,4.6,Россия,0
6007,6318055972,Рубанок электрический,6791,tool,104,4.8,Россия,0
6008,7728851200,Пила сабельная,8835,tool,65,4.6,Россия,0
6009,6318055972,Пила торцовочная,11913,tool,175,4.7,Россия,0
6010,261707735559,Рубанок электрический,11033,tool,249,5.0,Россия,0
6011,6318055972,Шуруповерт,11979,tool,33,4.6,Россия,0
6012,7728851200,Прибор для выжигания по дереву,9633,tool,132,4.5,Россия,0
6013,780260063669,Прибор для выжигания по дереву,11888,tool,206,4.8,Россия,0
6014,6318055972,Шуруповерт,5396,tool,94,4.7,Россия,0
6015,780260063669,Шлиф-машина,5655,tool,79,4.6,Россия,0
6016,780624001990,Дрель ручная электрическая,8272,tool,162,4.9,Россия,0
6017,780624001990,Шуруповерт,11389,tool,146,4.7,Россия,0
6018,780260063669,Шуруповерт,5961,tool,183,4.6,Россия,0
6019,780260063669,Пила сабельная,11892,tool,129,4.7,Россия,0
6020,780260063669,Шлиф-машина,10271,tool,26,4.9,Россия,0
6021,780260063669,Пила сабельная,7162,tool,126,4.7,Россия,0
6022,6318055972,Рубанок электрический,8354,tool,287,4.6,Россия,0
6023,780260063669,Шуруповерт,8352,tool,134,4.5,Россия,0
6024,780624001990,Прибор для выжигания по дереву,8403,tool,149,4.8,Россия,0
6025,780624001990,Дрель ручная электрическая,11359,tool,187,4.8,Россия,0
6026,7728851200,Прибор для выжигания по дереву,8671,tool,204,4.7,Россия,0
6027,780260063669,Пила торцовочная,9225,tool,28,4.9,Россия,0
6028,780260063669,Дрель ручная электрическая,7059,tool,280,4.7,Россия,0
6029,261707735559,Пила торцовочная,11352,tool,27,4.6,Россия,0
6030,780624001990,Рубанок электрический,7749,tool,143,5.0,Россия,0
6031,6318055972,Пила сабельная,8357,tool,60,4.6,Россия,0
6032,6318055972,Шлиф-машина,8493,tool,220,5.0,Россия,0
6033,6318055972,Пила торцовочная,9917,tool,121,4.8,Россия,0
6034,7728851200,Пила сабельная,7464,tool,162,4.9,Россия,0
6035,261707735559,Пила сабельная,9108,tool,139,5.0,Россия,0
6036,780624001990,Прибор для выжигания по дереву,6909,tool,75,4.7,Россия,0
6037,780624001990,Прибор для выжигания по дереву,5695,tool,114,4.6,Россия,0
6038,261707735559,Пила сабельная,9543,tool,254,4.7,Россия,0
6039,7728851200,Степлер строительный электрический,6819,tool,182,5.0,Россия,0
6040,780260063669,Рубанок электрический,8901,tool,218,4.9,Россия,0
6041,7728851200,Дрель ручная электрическая,11575,tool,296,4.6,Россия,0
6042,780260063669,Пила сабельная,10063,tool,61,5.0,Россия,0
6043,261707735559,Степлер строительный электрический,5448,tool,150,4.8,Россия,0
6044,780624001990,Пила торцовочная,11545,tool,98,4.9,Россия,0
6045,261707735559,Степлер строительный электрический,7799,tool,223,4.9,Россия,0
6046,6318055972,Шуруповерт,10051,tool,130,4.6,Россия,0
6047,261707735559,Дрель ручная электрическая,11835,tool,191,4.9,Россия,0
6048,261707735559,Пила торцовочная,10889,tool,184,4.6,Россия,0
6049,261707735559,Шуруповерт,10268,tool,179,4.7,Россия,0
6050,6318055972,Прибор для выжигания по дереву,7170,tool,179,4.9,Россия,0
6051,6318055972,Шлиф-машина,5475,tool,114,4.7,Россия,0
6052,780260063669,Шлиф-машина,6325,tool,29,4.9,Россия,0
6053,261707735559,Шлиф-машина,10053,tool,23,5.0,Россия,0
6054,261707735559,Пила торцовочная,9699,tool,145,4.9,Россия,0
6055,261707735559,Шлиф-машина,9645,tool,274,4.6,Россия,0
